REF_DATE,GEO,DGUID,Rental unit type,Estimates,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
Apr-20,"Québec, Census metropolitan area (CMA)",2021S0503421,Apartment - 1 bedroom,Average asking rent,Dollars,81,units,0,v1675425002,9.2.1,830,,,,0
Jul-20,"Québec, Census metropolitan area (CMA)",2021S0503421,Apartment - 1 bedroom,Average asking rent,Dollars,81,units,0,v1675425002,9.2.1,900,E,,,0
Oct-20,"Québec, Census metropolitan area (CMA)",2021S0503421,Apartment - 1 bedroom,Average asking rent,Dollars,81,units,0,v1675425002,9.2.1,890,,,,0
Jan-21,"Québec, Census metropolitan area (CMA)",2021S0503421,Apartment - 1 bedroom,Average asking rent,Dollars,81,units,0,v1675425002,9.2.1,840,,,,0
Apr-21,"Québec, Census metropolitan area (CMA)",2021S0503421,Apartment - 1 bedroom,Average asking rent,Dollars,81,units,0,v1675425002,9.2.1,920,,,,0
Jul-21,"Québec, Census metropolitan area (CMA)",2021S0503421,Apartment - 1 bedroom,Average asking rent,Dollars,81,units,0,v1675425002,9.2.1,900,,,,0
Oct-21,"Québec, Census metropolitan area (CMA)",2021S0503421,Apartment - 1 bedroom,Average asking rent,Dollars,81,units,0,v1675425002,9.2.1,960,,,,0
Jan-22,"Québec, Census metropolitan area (CMA)",2021S0503421,Apartment - 1 bedroom,Average asking rent,Dollars,81,units,0,v1675425002,9.2.1,890,,,,0
Apr-22,"Québec, Census metropolitan area (CMA)",2021S0503421,Apartment - 1 bedroom,Average asking rent,Dollars,81,units,0,v1675425002,9.2.1,920,,,,0
Jul-22,"Québec, Census metropolitan area (CMA)",2021S0503421,Apartment - 1 bedroom,Average asking rent,Dollars,81,units,0,v1675425002,9.2.1,1000,,,,0
Oct-22,"Québec, Census metropolitan area (CMA)",2021S0503421,Apartment - 1 bedroom,Average asking rent,Dollars,81,units,0,v1675425002,9.2.1,1060,,,,0
Jan-23,"Québec, Census metropolitan area (CMA)",2021S0503421,Apartment - 1 bedroom,Average asking rent,Dollars,81,units,0,v1675425002,9.2.1,1030,,,,0
Apr-23,"Québec, Census metropolitan area (CMA)",2021S0503421,Apartment - 1 bedroom,Average asking rent,Dollars,81,units,0,v1675425002,9.2.1,1100,,,,0
Jul-23,"Québec, Census metropolitan area (CMA)",2021S0503421,Apartment - 1 bedroom,Average asking rent,Dollars,81,units,0,v1675425002,9.2.1,1200,,,,0
Oct-23,"Québec, Census metropolitan area (CMA)",2021S0503421,Apartment - 1 bedroom,Average asking rent,Dollars,81,units,0,v1675425002,9.2.1,1260,,,,0
Jan-24,"Québec, Census metropolitan area (CMA)",2021S0503421,Apartment - 1 bedroom,Average asking rent,Dollars,81,units,0,v1675425002,9.2.1,1190,,,,0
Apr-24,"Québec, Census metropolitan area (CMA)",2021S0503421,Apartment - 1 bedroom,Average asking rent,Dollars,81,units,0,v1675425002,9.2.1,1220,,,,0
Jul-24,"Québec, Census metropolitan area (CMA)",2021S0503421,Apartment - 1 bedroom,Average asking rent,Dollars,81,units,0,v1675425002,9.2.1,1220,,,,0
Oct-24,"Québec, Census metropolitan area (CMA)",2021S0503421,Apartment - 1 bedroom,Average asking rent,Dollars,81,units,0,v1675425002,9.2.1,1280,,,,0
Jan-25,"Québec, Census metropolitan area (CMA)",2021S0503421,Apartment - 1 bedroom,Average asking rent,Dollars,81,units,0,v1675425002,9.2.1,1210,,,,0
Jan-20,"Québec, Census metropolitan area (CMA)",2021S0503421,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675425003,9.3.1,900,,,,0
Apr-20,"Québec, Census metropolitan area (CMA)",2021S0503421,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675425003,9.3.1,940,,,,0
Jul-20,"Québec, Census metropolitan area (CMA)",2021S0503421,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675425003,9.3.1,960,,,,0
Oct-20,"Québec, Census metropolitan area (CMA)",2021S0503421,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675425003,9.3.1,1000,,,,0
Jan-21,"Québec, Census metropolitan area (CMA)",2021S0503421,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675425003,9.3.1,980,,,,0
Apr-21,"Québec, Census metropolitan area (CMA)",2021S0503421,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675425003,9.3.1,1010,,,,0
Jul-21,"Québec, Census metropolitan area (CMA)",2021S0503421,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675425003,9.3.1,1060,,,,0
Oct-21,"Québec, Census metropolitan area (CMA)",2021S0503421,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675425003,9.3.1,1090,,,,0
Jan-22,"Québec, Census metropolitan area (CMA)",2021S0503421,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675425003,9.3.1,1010,,,,0
Apr-22,"Québec, Census metropolitan area (CMA)",2021S0503421,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675425003,9.3.1,1110,,,,0
Jul-22,"Québec, Census metropolitan area (CMA)",2021S0503421,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675425003,9.3.1,1190,,,,0
Oct-22,"Québec, Census metropolitan area (CMA)",2021S0503421,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675425003,9.3.1,1250,,,,0
Jan-23,"Québec, Census metropolitan area (CMA)",2021S0503421,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675425003,9.3.1,1200,,,,0
Apr-23,"Québec, Census metropolitan area (CMA)",2021S0503421,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675425003,9.3.1,1300,,,,0
Jul-23,"Québec, Census metropolitan area (CMA)",2021S0503421,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675425003,9.3.1,1360,,,,0
Oct-23,"Québec, Census metropolitan area (CMA)",2021S0503421,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675425003,9.3.1,1470,,,,0
Jan-24,"Québec, Census metropolitan area (CMA)",2021S0503421,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675425003,9.3.1,1420,,,,0
Apr-24,"Québec, Census metropolitan area (CMA)",2021S0503421,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675425003,9.3.1,1560,E,,,0
Jul-24,"Québec, Census metropolitan area (CMA)",2021S0503421,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675425003,9.3.1,1570,,,,0
Oct-24,"Québec, Census metropolitan area (CMA)",2021S0503421,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675425003,9.3.1,1530,,,,0
Jan-25,"Québec, Census metropolitan area (CMA)",2021S0503421,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675425003,9.3.1,1470,,,,0
Jan-20,"Québec, Census metropolitan area (CMA)",2021S0503421,Room,Average asking rent,Dollars,81,units,0,v1675425005,9.5.1,400,,,,0
Apr-20,"Québec, Census metropolitan area (CMA)",2021S0503421,Room,Average asking rent,Dollars,81,units,0,v1675425005,9.5.1,400,,,,0
Jul-20,"Québec, Census metropolitan area (CMA)",2021S0503421,Room,Average asking rent,Dollars,81,units,0,v1675425005,9.5.1,400,,,,0
Oct-20,"Québec, Census metropolitan area (CMA)",2021S0503421,Room,Average asking rent,Dollars,81,units,0,v1675425005,9.5.1,400,,,,0
Jan-21,"Québec, Census metropolitan area (CMA)",2021S0503421,Room,Average asking rent,Dollars,81,units,0,v1675425005,9.5.1,400,,,,0
Apr-21,"Québec, Census metropolitan area (CMA)",2021S0503421,Room,Average asking rent,Dollars,81,units,0,v1675425005,9.5.1,400,,,,0
Jul-21,"Québec, Census metropolitan area (CMA)",2021S0503421,Room,Average asking rent,Dollars,81,units,0,v1675425005,9.5.1,390,,,,0
Oct-21,"Québec, Census metropolitan area (CMA)",2021S0503421,Room,Average asking rent,Dollars,81,units,0,v1675425005,9.5.1,400,,,,0
Jan-22,"Québec, Census metropolitan area (CMA)",2021S0503421,Room,Average asking rent,Dollars,81,units,0,v1675425005,9.5.1,410,,,,0
Apr-22,"Québec, Census metropolitan area (CMA)",2021S0503421,Room,Average asking rent,Dollars,81,units,0,v1675425005,9.5.1,410,,,,0
Jul-22,"Québec, Census metropolitan area (CMA)",2021S0503421,Room,Average asking rent,Dollars,81,units,0,v1675425005,9.5.1,430,,,,0
Oct-22,"Québec, Census metropolitan area (CMA)",2021S0503421,Room,Average asking rent,Dollars,81,units,0,v1675425005,9.5.1,440,,,,0
Jan-23,"Québec, Census metropolitan area (CMA)",2021S0503421,Room,Average asking rent,Dollars,81,units,0,v1675425005,9.5.1,450,,,,0
Apr-23,"Québec, Census metropolitan area (CMA)",2021S0503421,Room,Average asking rent,Dollars,81,units,0,v1675425005,9.5.1,460,,,,0
Jul-23,"Québec, Census metropolitan area (CMA)",2021S0503421,Room,Average asking rent,Dollars,81,units,0,v1675425005,9.5.1,490,,,,0
Oct-23,"Québec, Census metropolitan area (CMA)",2021S0503421,Room,Average asking rent,Dollars,81,units,0,v1675425005,9.5.1,510,,,,0
Jan-24,"Québec, Census metropolitan area (CMA)",2021S0503421,Room,Average asking rent,Dollars,81,units,0,v1675425005,9.5.1,520,,,,0
Apr-24,"Québec, Census metropolitan area (CMA)",2021S0503421,Room,Average asking rent,Dollars,81,units,0,v1675425005,9.5.1,530,,,,0
Jul-24,"Québec, Census metropolitan area (CMA)",2021S0503421,Room,Average asking rent,Dollars,81,units,0,v1675425005,9.5.1,540,,,,0
Oct-24,"Québec, Census metropolitan area (CMA)",2021S0503421,Room,Average asking rent,Dollars,81,units,0,v1675425005,9.5.1,560,,,,0
Jan-25,"Québec, Census metropolitan area (CMA)",2021S0503421,Room,Average asking rent,Dollars,81,units,0,v1675425005,9.5.1,570,,,,0
Jan-20,"Saguenay, Census metropolitan area (CMA)",2021S0503408,Apartment - 1 bedroom,Average asking rent,Dollars,81,units,0,v1675424997,10.2.1,,..,,,0
Apr-20,"Saguenay, Census metropolitan area (CMA)",2021S0503408,Apartment - 1 bedroom,Average asking rent,Dollars,81,units,0,v1675424997,10.2.1,,..,,,0
Jul-20,"Saguenay, Census metropolitan area (CMA)",2021S0503408,Apartment - 1 bedroom,Average asking rent,Dollars,81,units,0,v1675424997,10.2.1,,..,,,0
Oct-20,"Saguenay, Census metropolitan area (CMA)",2021S0503408,Apartment - 1 bedroom,Average asking rent,Dollars,81,units,0,v1675424997,10.2.1,,..,,,0
Jan-21,"Saguenay, Census metropolitan area (CMA)",2021S0503408,Apartment - 1 bedroom,Average asking rent,Dollars,81,units,0,v1675424997,10.2.1,,..,,,0
Apr-21,"Saguenay, Census metropolitan area (CMA)",2021S0503408,Apartment - 1 bedroom,Average asking rent,Dollars,81,units,0,v1675424997,10.2.1,,..,,,0
Jul-21,"Saguenay, Census metropolitan area (CMA)",2021S0503408,Apartment - 1 bedroom,Average asking rent,Dollars,81,units,0,v1675424997,10.2.1,,..,,,0
Oct-21,"Saguenay, Census metropolitan area (CMA)",2021S0503408,Apartment - 1 bedroom,Average asking rent,Dollars,81,units,0,v1675424997,10.2.1,,..,,,0
Jan-22,"Saguenay, Census metropolitan area (CMA)",2021S0503408,Apartment - 1 bedroom,Average asking rent,Dollars,81,units,0,v1675424997,10.2.1,,..,,,0
Apr-22,"Saguenay, Census metropolitan area (CMA)",2021S0503408,Apartment - 1 bedroom,Average asking rent,Dollars,81,units,0,v1675424997,10.2.1,,..,,,0
Jul-22,"Saguenay, Census metropolitan area (CMA)",2021S0503408,Apartment - 1 bedroom,Average asking rent,Dollars,81,units,0,v1675424997,10.2.1,,..,,,0
Oct-22,"Saguenay, Census metropolitan area (CMA)",2021S0503408,Apartment - 1 bedroom,Average asking rent,Dollars,81,units,0,v1675424997,10.2.1,,..,,,0
Jan-23,"Saguenay, Census metropolitan area (CMA)",2021S0503408,Apartment - 1 bedroom,Average asking rent,Dollars,81,units,0,v1675424997,10.2.1,,..,,,0
Apr-23,"Saguenay, Census metropolitan area (CMA)",2021S0503408,Apartment - 1 bedroom,Average asking rent,Dollars,81,units,0,v1675424997,10.2.1,,..,,,0
Jul-23,"Saguenay, Census metropolitan area (CMA)",2021S0503408,Apartment - 1 bedroom,Average asking rent,Dollars,81,units,0,v1675424997,10.2.1,,..,,,0
Oct-23,"Saguenay, Census metropolitan area (CMA)",2021S0503408,Apartment - 1 bedroom,Average asking rent,Dollars,81,units,0,v1675424997,10.2.1,,..,,,0
Jan-24,"Saguenay, Census metropolitan area (CMA)",2021S0503408,Apartment - 1 bedroom,Average asking rent,Dollars,81,units,0,v1675424997,10.2.1,,..,,,0
Apr-24,"Saguenay, Census metropolitan area (CMA)",2021S0503408,Apartment - 1 bedroom,Average asking rent,Dollars,81,units,0,v1675424997,10.2.1,,..,,,0
Jul-24,"Saguenay, Census metropolitan area (CMA)",2021S0503408,Apartment - 1 bedroom,Average asking rent,Dollars,81,units,0,v1675424997,10.2.1,,..,,,0
Oct-24,"Saguenay, Census metropolitan area (CMA)",2021S0503408,Apartment - 1 bedroom,Average asking rent,Dollars,81,units,0,v1675424997,10.2.1,,..,,,0
Jan-25,"Saguenay, Census metropolitan area (CMA)",2021S0503408,Apartment - 1 bedroom,Average asking rent,Dollars,81,units,0,v1675424997,10.2.1,,..,,,0
Jan-20,"Saguenay, Census metropolitan area (CMA)",2021S0503408,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675424998,10.3.1,,..,,,0
Apr-20,"Saguenay, Census metropolitan area (CMA)",2021S0503408,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675424998,10.3.1,,..,,,0
Jul-20,"Saguenay, Census metropolitan area (CMA)",2021S0503408,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675424998,10.3.1,,..,,,0
Oct-20,"Saguenay, Census metropolitan area (CMA)",2021S0503408,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675424998,10.3.1,,..,,,0
Jan-21,"Saguenay, Census metropolitan area (CMA)",2021S0503408,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675424998,10.3.1,,..,,,0
Apr-21,"Saguenay, Census metropolitan area (CMA)",2021S0503408,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675424998,10.3.1,,..,,,0
Jul-21,"Saguenay, Census metropolitan area (CMA)",2021S0503408,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675424998,10.3.1,,..,,,0
Oct-21,"Saguenay, Census metropolitan area (CMA)",2021S0503408,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675424998,10.3.1,,..,,,0
Jan-22,"Saguenay, Census metropolitan area (CMA)",2021S0503408,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675424998,10.3.1,,..,,,0
Apr-22,"Saguenay, Census metropolitan area (CMA)",2021S0503408,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675424998,10.3.1,,..,,,0
Jul-22,"Saguenay, Census metropolitan area (CMA)",2021S0503408,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675424998,10.3.1,,..,,,0
Oct-22,"Saguenay, Census metropolitan area (CMA)",2021S0503408,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675424998,10.3.1,,..,,,0
Jan-23,"Saguenay, Census metropolitan area (CMA)",2021S0503408,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675424998,10.3.1,,..,,,0
Apr-23,"Saguenay, Census metropolitan area (CMA)",2021S0503408,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675424998,10.3.1,,..,,,0
Jul-23,"Saguenay, Census metropolitan area (CMA)",2021S0503408,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675424998,10.3.1,,..,,,0
