REF_DATE,GEO,DGUID,Products and product groups,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
Dec-24,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,184.8,,,,1
Jan-25,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,182.4,,,,1
Feb-25,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,186.8,,,,1
Mar-25,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,193,,,,1
Apr-25,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,194.3,,,,1
May-25,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,194.7,,,,1
Jun-25,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,196.3,,,,1
Jul-25,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,195.6,,,,1
Aug-25,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,196.3,,,,1
Sep-25,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,197,,,,1
Jan-20,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,166.6,,,,1
Feb-20,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,165.4,,,,1
Mar-20,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,165.3,,,,1
Apr-20,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,164.5,,,,1
May-20,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,162.7,,,,1
Jun-20,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,163.8,,,,1
Jul-20,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,165.3,,,,1
Aug-20,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,164.4,,,,1
Sep-20,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,165.7,,,,1
Oct-20,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,165.4,,,,1
Nov-20,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,166.8,,,,1
Dec-20,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,166.6,,,,1
Jan-21,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,167.3,,,,1
Feb-21,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,166.4,,,,1
Mar-21,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,167.6,,,,1
Apr-21,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,168.4,,,,1
May-21,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,169,,,,1
Jun-21,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,169.3,,,,1
Jul-21,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,170.4,,,,1
Aug-21,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,170.3,,,,1
Sep-21,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,170.4,,,,1
Oct-21,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,170.4,,,,1
Nov-21,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,170.8,,,,1
Dec-21,Newfoundland and Labrador,2016A000210,Shelter,2002=100,17,units,0,v41691277,3.79,171.3,,,,1
