Province,City,Year,Quarter,1_Bedroom_Rent,2_Bedroom_Rent,All-items,Food,Shelter,Household_ops,Clothing and footwear,Transportation,Health and personal care,"Recreation, education and reading","Alcoholic beverages, tobacco products and recreational cannabis"
Alberta,Calgary,2021,4,1220.0,1460.0,151.6,159.70000000000002,183.4,122.06666666666666,96.60000000000001,166.03333333333333,141.4,118.83333333333333,172.83333333333334
Alberta,Calgary,2022,1,1250.0,1500.0,154.6,164.66666666666666,187.26666666666665,123.03333333333335,95.56666666666666,171.0666666666667,141.33333333333334,121.5,174.9333333333333
Alberta,Calgary,2022,2,1290.0,1560.0,159.20000000000002,168.53333333333333,192.0333333333333,126.96666666666665,99.03333333333335,180.23333333333335,143.36666666666667,123.76666666666667,178.20000000000002
Alberta,Calgary,2022,3,1370.0,1700.0,160.5,172.4,192.9,128.26666666666668,98.10000000000001,180.46666666666667,145.46666666666667,125.2,179.0
Alberta,Calgary,2022,4,1440.0,1760.0,161.4,176.13333333333333,196.1,128.76666666666668,99.5,177.36666666666667,147.9,122.73333333333333,181.29999999999998
Alberta,Calgary,2023,1,1500.0,1790.0,160.76666666666665,180.33333333333334,194.16666666666666,128.29999999999998,98.0,171.20000000000002,150.76666666666665,122.83333333333333,182.96666666666667
Alberta,Calgary,2023,2,1520.0,1840.0,164.06666666666666,182.20000000000002,201.79999999999998,127.73333333333333,99.16666666666667,177.4,153.13333333333333,124.53333333333335,185.5
Alberta,Calgary,2023,3,1660.0,2010.0,166.26666666666668,183.46666666666667,210.80000000000004,125.86666666666667,97.66666666666667,179.73333333333335,154.53333333333333,124.89999999999999,187.6
Alberta,Calgary,2023,4,1770.0,2130.0,165.46666666666667,184.6,212.13333333333333,123.89999999999999,97.86666666666667,175.4333333333333,155.03333333333333,123.03333333333335,188.29999999999998
Alberta,Calgary,2024,1,1740.0,2090.0,166.66666666666666,187.4333333333333,215.46666666666667,125.13333333333333,94.10000000000001,176.1,156.20000000000002,121.76666666666665,191.4
Alberta,Calgary,2024,2,1760.0,2150.0,169.03333333333333,187.9666666666667,217.76666666666665,124.43333333333334,96.13333333333333,183.16666666666666,158.4,124.60000000000001,194.29999999999998
Alberta,Calgary,2024,3,1720.0,2050.0,169.9333333333333,189.70000000000002,219.83333333333334,125.0,95.23333333333333,183.5666666666667,158.53333333333333,125.13333333333333,194.5
Alberta,Calgary,2024,4,1630.0,1950.0,170.0,189.86666666666667,223.33333333333334,124.3,95.26666666666667,180.5666666666667,157.79999999999998,124.66666666666667,195.79999999999998
Alberta,Calgary,2025,1,1630.0,1920.0,171.16666666666666,190.9333333333333,224.4333333333333,125.83333333333333,95.10000000000001,182.73333333333335,158.66666666666666,125.2,196.03333333333333
British Columbia,Chilliwack,2020,1,1000.0,1290.0,132.43333333333334,148.96666666666667,126.73333333333333,120.0,110.56666666666666,144.33333333333334,123.06666666666666,125.60000000000001,160.33333333333334
British Columbia,Chilliwack,2020,2,1090.0,1270.0,131.76666666666665,149.6,126.36666666666667,120.93333333333334,103.8,141.56666666666666,124.33333333333333,125.60000000000001,160.79999999999998
British Columbia,Chilliwack,2020,3,1090.0,1310.0,132.5,149.66666666666666,126.66666666666667,121.5,104.3,143.33333333333334,125.63333333333333,126.96666666666665,160.13333333333333
British Columbia,Chilliwack,2020,4,1130.0,1430.0,133.0,149.93333333333334,128.96666666666667,121.2,106.26666666666667,142.5,126.36666666666667,125.7,158.1
British Columbia,Chilliwack,2021,1,1160.0,1650.0,134.20000000000002,150.9333333333333,129.66666666666666,121.03333333333335,103.93333333333334,147.9,125.89999999999999,126.3,158.86666666666667
British Columbia,Chilliwack,2021,2,1210.0,1590.0,135.36666666666667,151.93333333333334,131.79999999999998,121.3,106.96666666666665,147.0666666666667,128.13333333333333,127.73333333333333,159.9
British Columbia,Chilliwack,2021,3,1220.0,1680.0,136.96666666666667,153.4333333333333,133.5,121.73333333333333,106.10000000000001,149.20000000000002,129.1,131.83333333333334,161.5
British Columbia,Chilliwack,2021,4,1250.0,1610.0,138.0,155.93333333333334,135.76666666666665,121.63333333333333,105.53333333333335,149.4,129.9333333333333,130.6,162.36666666666667
British Columbia,Chilliwack,2022,1,1340.0,1550.0,140.93333333333334,160.03333333333333,138.9333333333333,123.23333333333333,104.86666666666667,155.33333333333334,129.29999999999998,132.70000000000002,165.53333333333333
British Columbia,Chilliwack,2022,2,1400.0,1720.0,145.6,163.53333333333333,142.5,127.90000000000002,107.56666666666666,166.1,132.16666666666666,137.06666666666666,168.13333333333333
British Columbia,Chilliwack,2022,3,1390.0,1710.0,147.46666666666667,167.6,143.83333333333334,129.26666666666668,104.7,167.66666666666666,133.29999999999998,140.73333333333332,173.4
British Columbia,Chilliwack,2022,4,1430.0,1680.0,147.9333333333333,170.29999999999998,145.76666666666668,129.4333333333333,106.03333333333335,164.83333333333334,135.43333333333334,135.73333333333335,175.4
British Columbia,Chilliwack,2023,1,1460.0,1660.0,148.96666666666667,174.83333333333334,147.5,128.33333333333334,106.60000000000001,163.16666666666666,137.0666666666667,135.83333333333334,177.76666666666665
British Columbia,Chilliwack,2023,2,1490.0,1800.0,151.0,176.26666666666665,149.5,128.96666666666667,108.26666666666667,165.73333333333335,140.23333333333332,140.03333333333333,179.5666666666667
British Columbia,Chilliwack,2023,3,1520.0,1820.0,152.46666666666667,178.0666666666667,151.5,128.16666666666666,105.39999999999999,167.86666666666667,141.06666666666666,145.56666666666666,180.0666666666667
British Columbia,Chilliwack,2023,4,1520.0,1820.0,152.5,179.33333333333334,155.23333333333335,126.16666666666667,106.39999999999999,164.36666666666667,141.0,139.29999999999998,180.36666666666667
British Columbia,Chilliwack,2024,1,1460.0,1840.0,153.13333333333333,181.63333333333333,157.23333333333335,127.06666666666666,101.73333333333333,163.66666666666666,141.9,137.29999999999998,182.76666666666665
British Columbia,Chilliwack,2024,2,1470.0,1820.0,155.20000000000002,181.4333333333333,159.5,126.83333333333333,103.66666666666667,168.26666666666665,144.06666666666666,142.23333333333332,183.9
British Columbia,Chilliwack,2024,3,1480.0,1790.0,156.13333333333333,183.0,160.73333333333335,128.06666666666666,101.8,167.76666666666668,144.26666666666668,144.46666666666667,185.4
British Columbia,Chilliwack,2024,4,1450.0,1830.0,156.20000000000002,183.79999999999998,162.96666666666667,126.83333333333333,102.83333333333333,166.5666666666667,143.9,140.4333333333333,184.4
British Columbia,Chilliwack,2025,1,1490.0,1710.0,157.13333333333333,184.96666666666667,163.6,127.8,102.10000000000001,169.63333333333333,143.96666666666667,140.93333333333334,184.46666666666667
Quebec,Drummondville,2020,1,,650.0,132.76666666666665,152.26666666666665,137.6,123.46666666666665,95.43333333333334,140.03333333333333,127.33333333333333,103.26666666666667,159.73333333333332
Quebec,Drummondville,2020,2,,670.0,132.13333333333333,154.20000000000002,137.1,123.7,89.60000000000001,137.26666666666665,127.63333333333333,103.5,160.36666666666667
Quebec,Drummondville,2020,3,,670.0,132.79999999999998,153.26666666666668,137.5,124.26666666666667,90.33333333333333,139.26666666666668,129.16666666666666,104.46666666666665,161.03333333333333
Quebec,Drummondville,2020,4,,710.0,133.33333333333334,153.20000000000002,138.33333333333334,124.39999999999999,92.53333333333335,139.36666666666667,131.0,104.46666666666665,162.63333333333333
Quebec,Drummondville,2021,1,,750.0,135.0,154.9,139.1,124.53333333333335,91.3,145.0,131.0666666666667,105.43333333333334,164.33333333333334
Quebec,Drummondville,2021,2,,760.0,137.06666666666666,155.66666666666666,141.4,126.2,93.23333333333333,148.73333333333332,133.26666666666665,106.83333333333333,166.53333333333333
Quebec,Drummondville,2021,3,,790.0,138.79999999999998,157.46666666666667,143.5,127.66666666666667,91.36666666666667,152.03333333333333,134.0,108.13333333333333,169.06666666666666
Quebec,Drummondville,2021,4,,810.0,140.29999999999998,160.26666666666668,144.5666666666667,128.79999999999998,93.89999999999999,154.6,134.13333333333333,108.0,169.96666666666667
Quebec,Drummondville,2022,1,,860.0,142.73333333333332,165.13333333333333,146.29999999999998,129.86666666666667,90.8,159.66666666666666,135.53333333333333,110.36666666666667,172.73333333333335
Quebec,Drummondville,2022,2,,910.0,147.26666666666665,170.26666666666665,150.63333333333333,131.93333333333334,93.0,170.73333333333335,138.4333333333333,112.66666666666667,173.46666666666667
Quebec,Drummondville,2022,3,,980.0,148.5,173.16666666666666,151.96666666666667,133.53333333333333,91.89999999999999,169.53333333333333,140.46666666666667,114.83333333333333,175.83333333333334
